lm,clustering,k,threshold,Predicted,True
word2vec,ConnectedComponentsClustering,1,0.05,89.76860494763241,10.0
word2vec,ConnectedComponentsClustering,1,0.05,89.76860494763241,10.0
word2vec,ConnectedComponentsClustering,1,0.05,89.76860494763241,10.0
word2vec,ConnectedComponentsClustering,1,0.05,89.76860494763241,10.0
word2vec,ConnectedComponentsClustering,1,0.05,89.76860494763241,10.0
word2vec,ConnectedComponentsClustering,1,0.05,89.76860494763241,10.0
word2vec,ConnectedComponentsClustering,1,0.05,89.76860494763241,10.0
word2vec,ConnectedComponentsClustering,1,0.05,89.76860494763241,10.0
word2vec,ConnectedComponentsClustering,1,0.05,89.76860494763241,10.0
word2vec,ConnectedComponentsClustering,1,0.05,89.76860494763241,10.0
word2vec,ConnectedComponentsClustering,1,0.05,89.76860494763241,10.0
word2vec,ConnectedComponentsClustering,1,0.05,89.76860494763241,10.0
word2vec,ConnectedComponentsClustering,1,0.05,89.76860494763241,10.0
st5,KiralyMSMApproximateClustering,12,0.8785953360710774,85.86929629698894,57.7049
st5,KiralyMSMApproximateClustering,12,0.8785953360710774,85.86929629698894,57.7049
st5,KiralyMSMApproximateClustering,12,0.8785953360710774,85.86929629698894,57.7049
st5,KiralyMSMApproximateClustering,12,0.8785953360710774,85.86929629698894,57.7049
st5,KiralyMSMApproximateClustering,12,0.8785953360710774,85.86929629698894,57.7049
st5,KiralyMSMApproximateClustering,12,0.8785953360710774,85.86929629698894,57.7049
st5,KiralyMSMApproximateClustering,12,0.8785953360710774,85.86929629698894,57.7049
