lm,clustering,k,threshold,Predicted,True
st5,KiralyMSMApproximateClustering,2,0.6000000000000001,75.18906887387824,56.8619
st5,KiralyMSMApproximateClustering,2,0.55,75.18868103661971,56.8619
st5,KiralyMSMApproximateClustering,2,0.45,75.15421133152975,56.8619
st5,KiralyMSMApproximateClustering,2,0.5,75.15091996159968,56.8619
st5,KiralyMSMApproximateClustering,3,0.6000000000000001,75.005541460998,56.9757
st5,KiralyMSMApproximateClustering,3,0.55,75.00515362373945,56.9757
st5,KiralyMSMApproximateClustering,93,0.55,75.00462604318896,57.4176
st5,KiralyMSMApproximateClustering,89,0.55,75.00448824654221,57.4176
st5,KiralyMSMApproximateClustering,90,0.55,75.00448824654221,57.4176
st5,KiralyMSMApproximateClustering,91,0.55,75.00448824654221,57.4176
st5,KiralyMSMApproximateClustering,92,0.55,75.00448824654221,57.4176
st5,KiralyMSMApproximateClustering,93,0.6000000000000001,75.00440713831301,57.4176
st5,KiralyMSMApproximateClustering,92,0.6000000000000001,75.00426934166624,57.4176
st5,KiralyMSMApproximateClustering,90,0.6000000000000001,75.00426934166624,57.4176
st5,KiralyMSMApproximateClustering,89,0.6000000000000001,75.00426934166624,57.4176
st5,KiralyMSMApproximateClustering,91,0.6000000000000001,75.00426934166624,57.4176
st5,KiralyMSMApproximateClustering,88,0.55,75.00391416460212,57.4176
st5,KiralyMSMApproximateClustering,87,0.55,75.00390548352443,57.4176
st5,KiralyMSMApproximateClustering,88,0.6000000000000001,75.00369525972614,57.4176
st5,KiralyMSMApproximateClustering,87,0.6000000000000001,75.00368657864846,57.4176
