lm,clustering,k,threshold,Predicted,True
sminilm,KiralyMSMApproximateClustering,100,0.2,77.4711964989658,74.2145
sminilm,KiralyMSMApproximateClustering,100,0.25,77.47114734548661,74.2145
sminilm,KiralyMSMApproximateClustering,100,0.3,77.40591398612922,74.2145
sminilm,KiralyMSMApproximateClustering,100,0.4077012179872968,77.40489360433774,74.2145
sminilm,KiralyMSMApproximateClustering,100,0.4077012179872968,77.40489360433774,74.2145
sminilm,KiralyMSMApproximateClustering,100,0.4077012179872968,77.40489360433774,74.2145
sminilm,KiralyMSMApproximateClustering,100,0.4077012179872968,77.40489360433774,74.2145
sminilm,KiralyMSMApproximateClustering,100,0.4077012179872968,77.40489360433774,74.2145
sminilm,KiralyMSMApproximateClustering,100,0.4077012179872968,77.40489360433774,74.2145
sminilm,KiralyMSMApproximateClustering,100,0.4077012179872968,77.40489360433774,74.2145
sminilm,KiralyMSMApproximateClustering,100,0.4077012179872968,77.40489360433774,74.2145
sminilm,KiralyMSMApproximateClustering,100,0.4077012179872968,77.40489360433774,74.2145
sminilm,KiralyMSMApproximateClustering,100,0.4077012179872968,77.40489360433774,74.2145
sminilm,KiralyMSMApproximateClustering,100,0.4077012179872968,77.40489360433774,74.2145
sminilm,KiralyMSMApproximateClustering,100,0.4077012179872968,77.40489360433774,74.2145
sminilm,KiralyMSMApproximateClustering,100,0.4077012179872968,77.40489360433774,74.2145
sminilm,KiralyMSMApproximateClustering,100,0.4077012179872968,77.40489360433774,74.2145
st5,UniqueMappingClustering,1,0.05,77.39789942960725,81.9401
st5,UniqueMappingClustering,1,0.05,77.39789942960725,81.9401
st5,UniqueMappingClustering,1,0.05,77.39789942960725,81.9401
