lm,clustering,k,threshold,Predicted,True
st5,KiralyMSMApproximateClustering,96,0.3,61.53457072624814,54.9952
st5,KiralyMSMApproximateClustering,91,0.3,61.51874389020008,54.9763
st5,KiralyMSMApproximateClustering,92,0.3,61.51399818989753,54.9821
st5,KiralyMSMApproximateClustering,88,0.3,61.51387713503478,54.9749
st5,KiralyMSMApproximateClustering,93,0.3,61.51042463820124,54.9894
st5,KiralyMSMApproximateClustering,89,0.3,61.51037465024399,54.9792
st5,KiralyMSMApproximateClustering,90,0.3,61.50875633621392,54.9778
st5,KiralyMSMApproximateClustering,86,0.3,61.5081008274728,54.972
st5,KiralyMSMApproximateClustering,96,0.25,61.507516713202094,54.9952
st5,KiralyMSMApproximateClustering,95,0.3,61.5071075610898,54.9938
st5,KiralyMSMApproximateClustering,96,0.15,61.50438763649527,54.9952
st5,KiralyMSMApproximateClustering,84,0.3,61.500411989442995,54.9565
st5,KiralyMSMApproximateClustering,85,0.3,61.49985074970703,54.9662
st5,KiralyMSMApproximateClustering,94,0.3,61.49910711337426,54.9923
st5,KiralyMSMApproximateClustering,96,0.2,61.4990937536123,54.9952
st5,KiralyMSMApproximateClustering,83,0.3,61.496471350115414,54.9594
st5,KiralyMSMApproximateClustering,82,0.3,61.49521321995782,54.9609
st5,KiralyMSMApproximateClustering,96,0.1,61.493615591997596,54.9952
st5,KiralyMSMApproximateClustering,87,0.3,61.49199265823984,54.9734
st5,KiralyMSMApproximateClustering,91,0.25,61.49168987715403,54.9763
