lm,clustering,k,threshold,Predicted,True
st5,KiralyMSMApproximateClustering,93,0.15,68.53566771109367,40.7814
st5,KiralyMSMApproximateClustering,46,0.15,68.53435970421549,40.6282
st5,KiralyMSMApproximateClustering,71,0.15,68.53327592971702,40.7395
st5,KiralyMSMApproximateClustering,70,0.15,68.52922150029454,40.7395
st5,KiralyMSMApproximateClustering,93,0.1,68.528600402256,40.7814
st5,KiralyMSMApproximateClustering,93,0.05,68.52824407399575,40.7814
st5,KiralyMSMApproximateClustering,46,0.1,68.5280778689701,40.6282
st5,KiralyMSMApproximateClustering,46,0.05,68.52771199756215,40.6282
st5,KiralyMSMApproximateClustering,71,0.1,68.52623413531485,40.7395
st5,KiralyMSMApproximateClustering,71,0.05,68.52597421514484,40.7395
st5,KiralyMSMApproximateClustering,95,0.15,68.52596602574235,40.7814
st5,KiralyMSMApproximateClustering,67,0.15,68.52573971380123,40.7255
st5,KiralyMSMApproximateClustering,96,0.15,68.52442376113439,40.7814
st5,KiralyMSMApproximateClustering,94,0.15,68.52390412986182,40.7814
st5,KiralyMSMApproximateClustering,69,0.15,68.52301902255581,40.7395
st5,KiralyMSMApproximateClustering,70,0.1,68.52217970589237,40.7395
st5,KiralyMSMApproximateClustering,70,0.05,68.52191978572236,40.7395
st5,KiralyMSMApproximateClustering,46,0.3,68.52151396426736,40.6282
st5,KiralyMSMApproximateClustering,71,0.3,68.52063479293551,40.7395
st5,KiralyMSMApproximateClustering,67,0.1,68.51947295473094,40.7255
