TEST_SET,DATASET,EXPERIMENT,REGRESSOR,VALIDATION_MSE,TEST_MSE,PREDICTED_F1,GLOBAL_BEST_F1,PERFORMANCE,OPTIMIZATION_TIME,BEST_REGRESSOR_FIT_TIME,BEST_REGRESSOR_PREDICTION_TIME,WITH_DATA_FEATURES,LM,K,CLUSTERING,THRESHOLD,ETEER_RUNTIME
D9,all,AutoML,0.8*gradient_boosting + 0.2*gradient_boosting,,940.4119,91.6553,94.9241,0.9656,43195.2538,,63.7164,0,st5,27.0,KiralyMSMApproximateClustering,0.8788,9.5202
D1,optuna,AutoML,0.38*extra_trees + 0.36*random_forest + 0.14*gradient_boosting + 0.1*k_nearest_neighbors + 0.02*gradient_boosting,,424.827,55.3459,78.4314,0.7057,43238.956,,239.6281,1,st5,1.0,UniqueMappingClustering,0.2659,5.8377
D10,optuna,AutoML,0.78*extra_trees + 0.12*gradient_boosting + 0.1*extra_trees,,292.832,36.3098,56.117,0.647,43227.266,,67.7714,1,smpnet,1.0,KiralyMSMApproximateClustering,0.05,13.6454
D2,optuna,AutoML,0.82*extra_trees + 0.12*gradient_boosting + 0.04*random_forest + 0.02*k_nearest_neighbors,,415.2661,81.9401,85.8486,0.9545,43221.143,,178.6551,1,st5,1.0,KiralyMSMApproximateClustering,0.1722,0.1823
D3,optuna,AutoML,0.54*extra_trees + 0.16*extra_trees + 0.14*random_forest + 0.12*gradient_boosting + 0.04*k_nearest_neighbors,,223.0337,57.7941,59.1887,0.9764,43237.3137,,218.3301,1,st5,32.0,UniqueMappingClustering,0.05,2.9766
D4,optuna,AutoML,0.5*extra_trees + 0.38*random_forest + 0.08*gradient_boosting + 0.04*k_nearest_neighbors,,2280.8802,98.3769,98.6011,0.9977,43224.6895,,215.1101,1,st5,1.0,KiralyMSMApproximateClustering,0.05,0.8333
D5,optuna,AutoML,0.78*extra_trees + 0.1*gradient_boosting + 0.06*random_forest + 0.06*k_nearest_neighbors,,311.993,71.9689,78.9235,0.9119,43225.5253,,249.2466,1,smpnet,1.0,KiralyMSMApproximateClustering,0.6659,2.7683
D6,optuna,AutoML,0.4*extra_trees + 0.18*random_forest + 0.18*gradient_boosting + 0.12*gradient_boosting + 0.12*k_nearest_neighbors,,309.2738,55.9806,60.4225,0.9265,43225.9136,,252.5683,1,sminilm,1.0,KiralyMSMApproximateClustering,0.6307,1.2301
D7,optuna,AutoML,0.5*extra_trees + 0.24*random_forest + 0.2*gradient_boosting + 0.04*k_nearest_neighbors + 0.02*gradient_boosting,,341.6059,50.141,67.76,0.74,43221.8297,,227.4257,1,smpnet,1.0,UniqueMappingClustering,0.228,2.276
D8,optuna,AutoML,0.52*extra_trees + 0.2*random_forest + 0.12*k_nearest_neighbors + 0.1*gradient_boosting + 0.06*gradient_boosting,,792.5619,40.7674,49.5337,0.823,43222.2741,,229.6457,1,st5,91.0,KiralyMSMApproximateClustering,0.0501,20.6557
D9,optuna,AutoML,0.52*extra_trees + 0.28*random_forest + 0.14*gradient_boosting + 0.06*k_nearest_neighbors,,2037.7087,94.3686,94.9241,0.9941,43221.845,,222.3003,1,st5,100.0,KiralyMSMApproximateClustering,0.4767,61.1626
D1,optuna,AutoML,0.74*extra_trees + 0.18*random_forest + 0.04*k_nearest_neighbors + 0.02*gradient_boosting + 0.02*adaboost,,444.348,57.1429,78.4314,0.7286,43201.3939,,55.9394,0,st5,1.0,KiralyMSMApproximateClustering,0.779,0.1106
D10,optuna,AutoML,0.94*extra_trees + 0.02*random_forest + 0.02*gradient_boosting + 0.02*ard_regression,,802.9557,55.3979,56.117,0.9872,43236.6576,,28.4424,0,st5,1.0,UniqueMappingClustering,0.0853,13.3419
D2,optuna,AutoML,0.92*extra_trees + 0.02*extra_trees + 0.02*gradient_boosting + 0.02*k_nearest_neighbors + 0.02*adaboost,,337.4461,78.6325,85.8486,0.9159,43205.8106,,60.6276,0,st5,12.0,KiralyMSMApproximateClustering,0.1117,0.4923
D3,optuna,AutoML,0.82*extra_trees + 0.08*extra_trees + 0.06*gradient_boosting + 0.02*extra_trees + 0.02*k_nearest_neighbors,,238.7432,57.4176,59.1887,0.9701,43209.6093,,73.2937,0,st5,100.0,KiralyMSMApproximateClustering,0.3209,4.3223
D4,optuna,AutoML,0.74*extra_trees + 0.22*random_forest + 0.02*gradient_boosting + 0.02*ard_regression,,1938.3059,98.1761,98.6011,0.9957,43238.1494,,40.3322,0,st5,21.0,KiralyMSMApproximateClustering,0.3019,1.135
D5,optuna,AutoML,0.74*extra_trees + 0.1*k_nearest_neighbors + 0.06*random_forest + 0.04*random_forest + 0.04*gradient_boosting + 0.02*k_nearest_neighbors,,278.9575,62.8471,78.9235,0.7963,43212.5706,,95.4209,0,sdistilroberta,32.0,KiralyMSMApproximateClustering,0.05,3.948
D6,optuna,AutoML,0.86*extra_trees + 0.04*extra_trees + 0.04*gradient_boosting + 0.04*k_nearest_neighbors + 0.02*ard_regression,,427.5353,51.1573,60.4225,0.8467,43211.8789,,56.0087,0,sminilm,1.0,UniqueMappingClustering,0.2,1.5787
D7,optuna,AutoML,0.88*extra_trees + 0.04*random_forest + 0.02*gradient_boosting + 0.02*k_nearest_neighbors + 0.02*gradient_boosting + 0.02*k_nearest_neighbors,,269.0321,65.3846,67.76,0.9649,43213.823,,197.5819,0,st5,1.0,KiralyMSMApproximateClustering,0.8292,1.3814
D8,optuna,AutoML,0.9*extra_trees + 0.02*gradient_boosting + 0.02*adaboost + 0.02*k_nearest_neighbors + 0.02*random_forest + 0.02*random_forest,,791.6615,47.0485,49.5337,0.9498,43213.0313,,62.4086,0,st5,1.0,UniqueMappingClustering,0.896,6.1263
D9,optuna,AutoML,0.86*extra_trees + 0.1*random_forest + 0.04*gradient_boosting,,1011.2043,94.3887,94.9241,0.9944,43240.4427,,25.2851,0,st5,21.0,KiralyMSMApproximateClustering,0.3019,16.4665
D1,gridsearch,AutoML,0.62*gradient_boosting + 0.38*random_forest,,345.2841,19.2982,78.4314,0.2461,43279.9262,,47.1224,1,sdistilroberta,1.0,ConnectedComponentsClustering,0.55,1.9444820880889893
D10,gridsearch,AutoML,0.76*gradient_boosting + 0.24*random_forest,,647.5369,29.8483,56.117,0.5319,43338.3617,,10.9145,1,sminilm,47.0,KiralyMSMApproximateClustering,0.55,19.14986824989319
D2,gridsearch,AutoML,0.76*gradient_boosting + 0.18*random_forest + 0.06*extra_trees,,1254.1471,68.8019,85.8486,0.8014,43427.6676,,18.5218,1,sminilm,1.0,ConnectedComponentsClustering,0.65,5.123471736907959
D3,gridsearch,AutoML,0.78*gradient_boosting + 0.22*random_forest,,183.4991,40.7589,59.1887,0.6886,43290.3557,,61.8833,1,st5,1.0,ConnectedComponentsClustering,0.45,0.7603440284729004
D4,gridsearch,AutoML,0.76*gradient_boosting + 0.24*random_forest,,2829.653,97.6881,98.6011,0.9907,43312.0484,,62.6318,1,sminilm,1.0,UniqueMappingClustering,0.4,0.5781216621398926
D5,gridsearch,AutoML,0.82*gradient_boosting + 0.14*random_forest + 0.04*extra_trees,,803.1593,71.2832,78.9235,0.9032,43466.5675,,25.148,1,st5,1.0,ConnectedComponentsClustering,0.7,6.055248498916626
D6,gridsearch,AutoML,0.74*gradient_boosting + 0.26*random_forest,,326.6301,45.5549,60.4225,0.7539,43306.8554,,64.944,1,sminilm,1.0,UniqueMappingClustering,0.7,0.7905290126800537
D7,gridsearch,AutoML,0.76*gradient_boosting + 0.24*random_forest,,409.1263,57.5722,67.76,0.8496,43313.777,,53.3935,1,sminilm,1.0,UniqueMappingClustering,0.55,19.868253231048584
D8,gridsearch,AutoML,0.72*gradient_boosting + 0.28*random_forest,,1329.3703,34.6102,49.5337,0.6987,43359.9604,,22.0695,1,smpnet,1.0,UniqueMappingClustering,0.65,2.6435203552246094
D9,gridsearch,AutoML,0.74*gradient_boosting + 0.26*random_forest,,1417.0373,94.3686,94.9241,0.9941,43329.1528,,17.3715,1,st5,99.0,KiralyMSMApproximateClustering,0.55,74.74114656448364
D1,gridsearch,AutoML,0.52*random_forest + 0.22*decision_tree + 0.16*adaboost + 0.1*ard_regression,,256.7627,55.873,78.4314,0.7124,43228.7849,,7.0127,0,st5,73.0,KiralyMSMApproximateClustering,0.75,0.886815071105957
D10,gridsearch,AutoML,0.68*random_forest + 0.22*adaboost + 0.08*liblinear_svr + 0.02*ard_regression,,805.8773,41.7267,56.117,0.7436,43219.298,,5.5964,0,st5,76.0,KiralyMSMApproximateClustering,0.75,30.534343004226685
D2,gridsearch,AutoML,0.8*random_forest + 0.1*adaboost + 0.1*ard_regression,,290.4618,78.1955,85.8486,0.9109,43225.16,,7.0918,0,st5,77.0,KiralyMSMApproximateClustering,0.75,5.575294256210327
D3,gridsearch,AutoML,0.6*random_forest + 0.28*adaboost + 0.12*ard_regression,,216.7241,56.1757,59.1887,0.9491,43224.2766,,7.498,0,st5,1.0,KiralyMSMApproximateClustering,0.75,5.752828359603882
D4,gridsearch,AutoML,0.58*random_forest + 0.3*adaboost + 0.12*ard_regression,,2253.3801,98.1761,98.6011,0.9957,43197.8977,,8.6415,0,st5,78.0,KiralyMSMApproximateClustering,0.7,2.4884634017944336
D5,gridsearch,AutoML,0.72*random_forest + 0.14*adaboost + 0.12*ard_regression + 0.02*adaboost,,243.0956,72.8713,78.9235,0.9233,43198.1702,,16.8349,0,st5,81.0,KiralyMSMApproximateClustering,0.7,6.511429071426392
D6,gridsearch,AutoML,0.78*gradient_boosting + 0.16*random_forest + 0.02*ard_regression + 0.02*gradient_boosting + 0.02*gradient_boosting,,388.1291,49.5256,60.4225,0.8197,43197.319,,24.5741,0,st5,3.0,KiralyMSMApproximateClustering,0.75,1.6755921840667725
D7,gridsearch,AutoML,0.56*gradient_boosting + 0.26*adaboost + 0.1*ard_regression + 0.06*random_forest + 0.02*liblinear_svr,,274.9201,52.7853,67.76,0.779,43219.6041,,18.9368,0,st5,1.0,KiralyMSMApproximateClustering,0.7,2.692744970321656
D8,gridsearch,AutoML,0.72*gradient_boosting + 0.16*random_forest + 0.12*gradient_boosting,,518.3562,38.8343,49.5337,0.784,43216.4479,,20.8246,0,st5,1.0,KiralyMSMApproximateClustering,0.75,96.1344301700592
D9,gridsearch,AutoML,0.721*random_forest + 0.163*adaboost + 0.12*ard_regression + 0.024*mlp,,939.4617,94.2827,94.9241,0.9932,43196.9623,,5.2864,0,st5,1.0,KiralyMSMApproximateClustering,0.75,7.596729516983032
D1,all,DL-SKLEARN,LinearRegression,247.1241,9.87297446005863e+22,55.3459,78.4314,0.7057,0.4103,0.326,0.0147,1,st5,1.0,KiralyMSMApproximateClustering,0.05,0.2369
D2,all,DL-SKLEARN,LinearRegression,241.8828,6.6547508996021055e+22,81.9401,85.8486,0.9545,0.2646,0.2393,0.0027,1,st5,1.0,KiralyMSMApproximateClustering,0.05,0.2036
D3,all,DL-SKLEARN,LinearRegression,270.4079,1.1380669042156172e+25,55.9823,59.1887,0.9458,0.2557,0.3289,0.0026,1,st5,1.0,KiralyMSMApproximateClustering,0.05,0.4788
D4,all,DL-SKLEARN,LinearRegression,243.8159,2.1300599712848315e+24,98.3769,98.6011,0.9977,0.238,0.2086,0.0022,1,st5,1.0,KiralyMSMApproximateClustering,0.05,0.8333
D5,all,DL-SKLEARN,LinearRegression,252.0246,2.744489959715826e+23,69.3934,78.9235,0.8792,0.2222,0.2088,0.0025,1,st5,1.0,KiralyMSMApproximateClustering,0.05,0.7913
D6,all,DL-SKLEARN,LinearRegression,269.9015,5.433684869943058e+23,43.8459,60.4225,0.7257,0.2473,0.2095,0.0023,1,st5,1.0,KiralyMSMApproximateClustering,0.05,1.3672
D7,all,DL-SKLEARN,LinearRegression,254.9566,3.843764838138442e+22,48.4848,67.76,0.7155,0.2271,0.2079,0.0024,1,st5,1.0,KiralyMSMApproximateClustering,0.05,1.6235
D8,all,DL-SKLEARN,LinearRegression,279.2682,6.014745922896272e+22,38.0861,49.5337,0.7689,0.2728,0.2092,0.0021,1,st5,1.0,KiralyMSMApproximateClustering,0.05,1.6269
D9,all,DL-SKLEARN,LinearRegression,228.6403,2.280802164194308e+25,92.8452,94.9241,0.9781,0.227,0.2081,0.0025,1,st5,1.0,KiralyMSMApproximateClustering,0.05,4.2272
D10,all,DL-SKLEARN,LinearRegression,261.5896,25893028.7451,55.3979,56.117,0.9872,0.2224,0.2068,0.0021,1,st5,1.0,KiralyMSMApproximateClustering,0.05,12.5363
D1,all,DL-SKLEARN,RandomForestRegressor,114.997,285.3983,55.3459,78.4314,0.7057,4551.7262,77.5193,0.8489,1,,,,,
D2,all,DL-SKLEARN,RandomForestRegressor,104.6702,845.7212,78.4566,85.8486,0.9139,7094.0096,124.3614,1.5714,1,,,,,
D3,all,DL-SKLEARN,RandomForestRegressor,113.0901,526.7141,55.9823,59.1887,0.9458,6715.0952,99.152,1.197,1,,,,,
D4,all,DL-SKLEARN,RandomForestRegressor,106.2961,2319.8217,98.1761,98.6011,0.9957,6125.1111,221.2447,2.2515,1,,,,,
D5,all,DL-SKLEARN,RandomForestRegressor,104.7636,394.8071,76.2613,78.9235,0.9663,7761.5787,196.8184,2.5271,1,,,,,
D6,all,DL-SKLEARN,RandomForestRegressor,115.2205,391.7454,47.6932,60.4225,0.7893,6022.2469,121.009,1.3155,1,,,,,
D7,all,DL-SKLEARN,RandomForestRegressor,112.1949,271.7571,64.2428,67.76,0.9481,5075.9145,31.8871,0.2999,1,,,,,
D8,all,DL-SKLEARN,RandomForestRegressor,127.3059,674.0332,40.7814,49.5337,0.8233,7154.0789,140.8174,1.3669,1,,,,,
D9,all,DL-SKLEARN,RandomForestRegressor,83.8295,1642.1227,94.3686,94.9241,0.9941,5639.3148,38.8682,0.4088,1,,,,,
D10,all,DL-SKLEARN,RandomForestRegressor,115.7211,505.2327,4.2453,56.117,0.0757,7763.4908,228.7473,2.3821,1,,,,,
D1,gridsearch,DL-SKLEARN,RandomForestRegressor,119.3839,220.4054,54.4892,78.4314,0.6947,5214.2434,130.0101,1.8,1,,,,,
D2,gridsearch,DL-SKLEARN,RandomForestRegressor,106.5136,684.6463,78.4566,85.8486,0.9139,2585.847,34.8466,0.5553,1,,,,,
D3,gridsearch,DL-SKLEARN,RandomForestRegressor,114.436,456.7947,56.8619,59.1887,0.9607,4756.9512,124.0709,1.9523,1,,,,,
D4,gridsearch,DL-SKLEARN,RandomForestRegressor,106.0727,2400.4931,98.3769,98.6011,0.9977,4507.5555,97.9924,1.354,1,,,,,
D5,gridsearch,DL-SKLEARN,RandomForestRegressor,108.2126,387.8172,74.0866,78.9235,0.9387,3669.3189,120.9351,1.8199,1,,,,,
D6,gridsearch,DL-SKLEARN,RandomForestRegressor,118.5162,379.2313,42.4207,60.4225,0.7021,4035.471,107.2406,1.1579,1,,,,,
D7,gridsearch,DL-SKLEARN,RandomForestRegressor,115.1623,259.291,57.3189,67.76,0.8459,3328.6428,44.2116,0.4559,1,,,,,
D8,gridsearch,DL-SKLEARN,RandomForestRegressor,129.6469,820.1457,40.7534,49.5337,0.8227,4453.0628,179.1631,1.8909,1,,,,,
D9,gridsearch,DL-SKLEARN,RandomForestRegressor,83.5265,1422.4247,94.3485,94.9241,0.9939,3290.615,56.9342,0.7015,1,,,,,
D10,gridsearch,DL-SKLEARN,RandomForestRegressor,116.9934,665.1313,54.8765,56.117,0.9779,3865.1069,23.0463,0.2923,1,,,,,
D1,gridsearch,DL-SKLEARN,XGBRegressor,0.0786,745.8629,52.381,78.4314,0.6679,90449.891,1399.8004,0.1899,1,,,,,
D2,gridsearch,DL-SKLEARN,XGBRegressor,0.0789,2012.476,77.2575,85.8486,0.8999,88646.8109,1223.0311,0.1962,1,,,,,
D3,gridsearch,DL-SKLEARN,XGBRegressor,32.794,518.9043,56.8776,59.1887,0.961,111010.1468,2168.8693,0.2585,1,,,,,
D4,gridsearch,DL-SKLEARN,XGBRegressor,0.0751,2441.9252,98.0147,98.6011,0.9941,86220.0468,1095.309,0.1628,1,,,,,
D5,gridsearch,DL-SKLEARN,XGBRegressor,0.0804,416.6796,63.3824,78.9235,0.8031,87896.5027,1182.881,0.1942,1,,,,,
D6,gridsearch,DL-SKLEARN,XGBRegressor,0.0976,422.5221,39.1939,60.4225,0.6487,92746.0099,1672.6246,0.2278,1,,,,,
D7,gridsearch,DL-SKLEARN,XGBRegressor,0.0826,336.2107,62.3109,67.76,0.9196,88136.6998,1103.6479,0.1748,1,,,,,
D8,gridsearch,DL-SKLEARN,XGBRegressor,0.0915,255.9193,39.9732,49.5337,0.807,79364.0628,1548.7496,0.21,1,,,,,
D9,gridsearch,DL-SKLEARN,XGBRegressor,0.0941,2504.458,93.6323,94.9241,0.9864,28673.4413,369.5228,0.0632,1,,,,,
D10,gridsearch,DL-SKLEARN,XGBRegressor,0.0649,410.9327,0.8535,56.117,0.0152,30571.3308,633.0021,0.0883,1,,,,,
D1,gridsearch,DL-SKLEARN,Lasso,278.7828,657.1109,55.3459,78.4314,0.7057,70718.5902,1547.3801,0.0275,1,,,,,
D2,gridsearch,DL-SKLEARN,Lasso,265.5911,1412.9697,81.9401,85.8486,0.9545,69870.7391,1577.5961,0.0235,1,,,,,
D3,gridsearch,DL-SKLEARN,Lasso,285.7631,85719.0589,55.9823,59.1887,0.9458,68014.8349,1510.5563,0.0235,1,,,,,
D4,gridsearch,DL-SKLEARN,Lasso,247.0875,3303.2533,98.3769,98.6011,0.9977,84910.3308,2604.2925,0.0352,1,,,,,
D5,gridsearch,DL-SKLEARN,Lasso,284.3962,321.1654,69.3934,78.9235,0.8792,116263.7625,2446.657,0.0392,1,,,,,
D6,gridsearch,DL-SKLEARN,Lasso,281.9275,1066.7632,43.8459,60.4225,0.7257,114055.0352,2661.9764,0.0314,1,,,,,
D7,gridsearch,DL-SKLEARN,Lasso,278.2245,497.5716,48.4848,67.76,0.7155,113473.1627,2403.1124,0.0475,1,,,,,
D8,gridsearch,DL-SKLEARN,Lasso,327.6354,3953.8983,38.0861,49.5337,0.7689,114786.3965,2651.044,0.0699,1,,,,,
D9,gridsearch,DL-SKLEARN,Lasso,267.2667,17771.4128,92.8452,94.9241,0.9781,111055.2662,2541.8,0.0435,1,,,,,
D10,gridsearch,DL-SKLEARN,Lasso,263.685,41192489.036,55.3994,56.117,0.9872,104314.2585,2079.0167,0.0315,1,,,,,
D1,optuna,DL-SKLEARN,Ridge,208.293,851.2712,55.3459,78.4314,0.7057,5.0586,0.0287,0.0011,1,,,,,
D2,optuna,DL-SKLEARN,Ridge,214.4293,1243.9366,81.9401,85.8486,0.9545,5.4473,0.0222,0.0012,1,,,,,
D3,optuna,DL-SKLEARN,Ridge,245.8236,120507.473,55.9823,59.1887,0.9458,6.283,0.0698,0.0011,1,,,,,
D4,optuna,DL-SKLEARN,Ridge,223.0455,5202.2089,98.3769,98.6011,0.9977,6.171,0.0643,0.0011,1,,,,,
D5,optuna,DL-SKLEARN,Ridge,231.1712,623.0424,68.4926,78.9235,0.8678,6.3177,0.0557,0.0011,1,,,,,
D6,optuna,DL-SKLEARN,Ridge,241.7407,637.4256,46.6491,60.4225,0.772,6.904,0.0579,0.0013,1,,,,,
D7,optuna,DL-SKLEARN,Ridge,226.6577,485.2358,48.4848,67.76,0.7155,7.0378,0.0404,0.0011,1,,,,,
D8,optuna,DL-SKLEARN,Ridge,250.8969,12889.6125,38.0861,49.5337,0.7689,7.4267,0.1684,0.0011,1,,,,,
D9,optuna,DL-SKLEARN,Ridge,212.3397,172493.7985,92.8452,94.9241,0.9781,7.1916,0.1464,0.0011,1,,,,,
D10,optuna,DL-SKLEARN,Ridge,231.814,26571828.3051,55.0247,56.117,0.9805,6.8898,0.1231,0.0011,1,,,,,
D1,optuna,DL-SKLEARN,LinearRegression,208.293,1.8776344551424374e+20,55.3459,78.4314,0.7057,0.088,0.0649,0.0014,1,st5,1.0,KiralyMSMApproximateClustering,0.05,0.2369
D2,optuna,DL-SKLEARN,LinearRegression,214.4268,1.3882366243231588e+22,81.9401,85.8486,0.9545,0.0914,0.0633,0.0015,1,st5,1.0,KiralyMSMApproximateClustering,0.05,0.2036
D3,optuna,DL-SKLEARN,LinearRegression,245.8236,3.167211468255674e+26,55.9823,59.1887,0.9458,0.1065,0.0645,0.0016,1,st5,1.0,KiralyMSMApproximateClustering,0.05,0.4788
D4,optuna,DL-SKLEARN,LinearRegression,223.0474,8.721636337371975e+22,98.3769,98.6011,0.9977,0.1049,0.079,0.0015,1,st5,1.0,KiralyMSMApproximateClustering,0.05,0.8333
D5,optuna,DL-SKLEARN,LinearRegression,231.1806,623.0459,68.4926,78.9235,0.8678,0.0868,0.0648,0.0015,1,st5,100.0,KiralyMSMApproximateClustering,0.05,9.8905
D6,optuna,DL-SKLEARN,LinearRegression,241.7579,626.1787,46.6491,60.4225,0.772,0.0918,0.0641,0.0015,1,st5,100.0,KiralyMSMApproximateClustering,0.05,10.2431
D7,optuna,DL-SKLEARN,LinearRegression,226.6376,8.579915133420423e+22,48.4848,67.76,0.7155,0.105,0.064,0.0015,1,st5,1.0,KiralyMSMApproximateClustering,0.05,1.6235
D8,optuna,DL-SKLEARN,LinearRegression,250.9017,6.112238161537065e+24,38.0861,49.5337,0.7689,0.1427,0.0605,0.0014,1,st5,1.0,KiralyMSMApproximateClustering,0.05,1.6269
D9,optuna,DL-SKLEARN,LinearRegression,212.3574,2.330596331136551e+25,92.8452,94.9241,0.9781,0.0925,0.0968,0.0093,1,st5,1.0,KiralyMSMApproximateClustering,0.05,4.2272
D10,optuna,DL-SKLEARN,LinearRegression,231.791,1.6897482145856271e+31,55.0247,56.117,0.9805,0.0985,0.0903,0.0015,1,st5,100.0,KiralyMSMApproximateClustering,0.05,37.9932
D1,all,DL-SKLEARN,Lasso,265.6853,723.2741,55.3459,78.4314,0.7057,70834.7107,1570.2286,0.0275,1,,,,,
D2,all,DL-SKLEARN,Lasso,262.6986,1426.3696,81.9401,85.8486,0.9545,69978.5348,1573.1725,0.0235,1,,,,,
D3,all,DL-SKLEARN,Lasso,271.0481,78928.4432,55.9823,59.1887,0.9458,71767.8186,1598.1568,0.0235,1,,,,,
D4,all,DL-SKLEARN,Lasso,245.2527,3199.3361,98.3769,98.6011,0.9977,89158.0307,2532.4246,0.0355,1,,,,,
D5,all,DL-SKLEARN,Lasso,282.8489,299.9537,69.3934,78.9235,0.8792,117134.7625,2494.7034,0.0446,1,,,,,
D6,all,DL-SKLEARN,Lasso,277.661,1085.8734,43.8459,60.4225,0.7257,108837.6827,2536.8268,0.0488,1,,,,,
D7,all,DL-SKLEARN,Lasso,271.4893,530.602,48.4848,67.76,0.7155,109520.249,2582.183,0.0557,1,,,,,
D8,all,DL-SKLEARN,Lasso,323.3047,4109.0993,38.0861,49.5337,0.7689,115386.7587,2543.4647,0.0474,1,,,,,
D9,all,DL-SKLEARN,Lasso,269.5435,18265.4519,92.8452,94.9241,0.9781,109473.0754,2668.3286,0.0353,1,,,,,
D10,all,DL-SKLEARN,Lasso,261.5843,34312790.9762,55.3994,56.117,0.9872,105282.2767,2142.4126,0.039,1,,,,,
D1,optuna,DL-SKLEARN,XGBRegressor,0.0209,1069.4838,54.6584,78.4314,0.6969,88921.9027,1144.4428,0.135,1,,,,,
