Feature,Importance,Std,Rank
k,0.0018798711853077576,4.825461443306626e-05,0
threshold,0.006991629204596983,8.848998916526513e-05,1
InputEntityProfiles,0.0,0.0,2
NumberOfAttributes,0.0,0.0,3
NumberOfDistinctValues,0.0,0.0,4
NumberOfNameValuePairs,0.0,0.0,5
AverageNVPairsPerEntity,0.0,0.0,6
AverageDistinctValuesPerEntity,0.0,0.0,7
AverageNVpairsPerAttribute,0.0,0.0,8
AverageDistinctValuesPerAttribute,0.0,0.0,9
NumberOfMissingNVpairs,0.0,0.0,10
AverageValueLength,0.0,0.0,11
AverageValueTokens,0.0,0.0,12
MaxValuesPerEntity,0.0,0.0,13
clustering_ConnectedComponentsClustering,0.08462500857011343,0.0009183629829753481,14
clustering_KiralyMSMApproximateClustering,0.001773712132683103,4.165851472519018e-05,15
clustering_UniqueMappingClustering,4.002618992715589e-06,3.326585776079695e-05,16
lm_fasttext,0.008474681732624157,0.00033405138132674885,17
lm_sdistilroberta,-2.7013854514001957e-05,7.159495710314147e-06,18
lm_sent_glove,0.0020695695680396976,5.449616184737057e-05,19
lm_sminilm,0.00032124513689865133,3.391964175874014e-05,20
lm_smpnet,0.00015521103754687627,4.663924056604964e-06,21
lm_st5,0.008829908063666991,5.776606035344488e-05,22
lm_word2vec,0.0010046427287188186,2.4558534161421388e-05,23
