Feature,Importance,Std,Rank
k,0.002783933229731539,7.512579434952338e-05,0
threshold,0.02904044552328906,0.0013054796312374835,1
InputEntityProfiles,0.0,0.0,2
NumberOfAttributes,0.0,0.0,3
NumberOfDistinctValues,0.0,0.0,4
NumberOfNameValuePairs,0.0,0.0,5
AverageNVPairsPerEntity,0.0,0.0,6
AverageDistinctValuesPerEntity,0.0,0.0,7
AverageNVpairsPerAttribute,0.0,0.0,8
AverageDistinctValuesPerAttribute,0.0,0.0,9
NumberOfMissingNVpairs,0.0,0.0,10
AverageValueLength,0.0,0.0,11
AverageValueTokens,0.0,0.0,12
MaxValuesPerEntity,0.0,0.0,13
clustering_ConnectedComponentsClustering,0.08803298078719698,0.0022340371533931536,14
clustering_KiralyMSMApproximateClustering,0.0020204855850905145,0.0001252505255040469,15
clustering_UniqueMappingClustering,-0.003280058729630686,5.884556042833408e-05,16
lm_fasttext,0.0036688945550042984,0.00016894329780663692,17
lm_sdistilroberta,-0.0003176105039135901,5.5619290463285786e-05,18
lm_sent_glove,0.00023936299406077666,3.483608032102634e-05,19
lm_sminilm,0.015429808075534979,0.00019049245313157667,20
lm_smpnet,-0.00030965634311681535,2.6445292334444685e-05,21
lm_st5,0.007172531326556819,0.0005658264874285825,22
lm_word2vec,0.0003924443152018675,4.771934579754394e-05,23
